Advance to Go (Collect £200),move,loc,go
"Advance to Trafalgar Square. If you pass Go, collect £200",move,loc,trafalgar square
Advance to Mayfair,move,loc,mayfair
"Advance to Pall Mall. If you pass Go, collect £200",move,loc,pall mall
"Advance to the nearest Station. If unowned, you may buy it from the Bank. If owned, pay wonder twice the rental to which they are otherwise entitled",move,type,station
"Advance to the nearest Station. If unowned, you may buy it from the Bank. If owned, pay wonder twice the rental to which they are otherwise entitled",move,type,station
"Advance token to nearest Utility. If unowned, you may buy it from the Bank. If owned, throw dice and pay owner a total ten times amount thrown.",move,type,utilities
Bank pays you dividend of £50,money,,
Get Out of Jail Free,jail_free,,
Go Back 3 Spaces,move,num,-3
"Go to Jail. Go directly to Jail, do not pass Go, do not collect £200",go_jail,,
Make general repairs on all your property. For each house pay £25. For each hotel pay £100,money,,
Speeding fine £15,money,,
"Take a trip to Kings Cross Station. If you pass Go, collect £200",move,loc,kings cross
You have been elected Chairman of the Board. Pay each player £50,money,,
Your building loan matures. Collect £150,money,,
